"BEZEICHNUNG","THIS_YEAR"
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",20671000
"Auszahlungen für Investitionen in Sachanlagen",7836000
"Einzahlungen aus dem Verkauf von immateriellen Vermögenswerten und Sachanlagen",0
"Wertpapiere",17272000
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",71821000
"Zahlungsmittel",53514000
"Unternehmen",4320000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",157600000
"Tilgung Verbindlichkeiten aus Leasing",3171000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",237758000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",2708000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",12923000
"Dividendenausschüttung",17299000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",3623000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",75424000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",7511000
"Umsatzerlöse",451790000
"Aktivierte Eigenleistungen",11576000
"Materialaufwand",231603000
"Personalaufwand",59396000
"Sonstige betriebliche Erträge",3650000
"Anteiliges Ergebnis aus assoziierten Unternehmen (at equity)",18000
"Abschreibungen (M&A bereinigt)*",18385000
"Abschreibungen (M&A bedingt)",14338000
"Ertragsteueraufwand",16421000
"Ergebnis je Aktie (unverwässert und verwässert) in EUR",1350
"Rechtsberatungs- und Abschlusskosten",4141000
"Beratungs- und beratungsnahe Kosten",8457000
"Bürokosten",5056000
"Betriebsausstattung und Leasing",5579000
"Vertrieb und Marketing",6907000
"Personalnahe Aufwendungen",2269000
"Versicherungen, Beiträge und Abgaben",940000
"Sonstiges",10334000
"Aufzinsungen von Schulden",4681000
"Zinsaufwand aus Darlehen und Leasing",3870000
"Abschreibungen auf Finanzanlagen",287000
"währungsbedingte Aufwendungen",14000
"währungsbedingte Erträge",0
"Zinserträge",616000
"Erträge aus der Veräußerung von Visa Europe Ltd.",91662000
"Erträge aus Wertpapieren und Ausleihungen",181000
"Kundenbeziehungen",501000000
"Selbsterstellte immaterielle Vermögenswerte",108811000
"Sonstige immaterielle Vermögenswerte",81490000
"2. Sachanlagen",58330000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14822000
"Latente Steueransprüche",3464000
"1. Vorräte und unfertige Leistungen",10045000
"2. Forderungen aus dem Acquiringbereich",395802000
"Steuererstattungsansprüche",11687000
"5. Verzinsliche Wertpapiere und Festgelder",115444000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1596669000
"Payment Processing & Risk Management",542616000
"Acquiring & Issuing",156129000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",16938000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",28550000
"Wandelschuldverschreibungen",33008000
"Festverzinsliche Wertpapiere",1941000
"Bankenbereich",47018000
"FinTech-Bereich)",115672000
"Sonstiges",7603000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",96730000
"Forderungen aus dem Kartengeschäft",17199000
"Sonstige Forderungen aus Lieferungen und Leistungen",95840000
"Sonstige Forderungen",35495000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",914025000
"4. Sonstige Bestandteile des Eigenkapitals",20050000
"Langfristige verzinsliche Verbindlichkeiten",695571000
"Latente Steuerschulden",88574000
"Verbindlichkeiten aus dem Acquiringbereich",381420000
"Verbindlichkeiten aus Lieferungen und Leistungen",53107000
"Verzinsliche Verbindlichkeiten",279923000
"Sonstige Rückstellungen",1906000
"Kundeneinlagen aus dem Bankgeschäft",820906000
"Steuerrückstellungen",27974000
"Earn-Out Verbindlichkeiten",27747000
"Leasingverbindlichkeiten",16584000
"variable Vergütung und Vorsorgebezüge",1818000
"Sonstige langfristige Verbindlichkeiten",3038000
"Abgegrenzte Schulden",36043000
"Leasingverbindlichkeiten",11096000
"Kaufpreisverbindlichkeiten",110748000
"Sonstige",23914000
"Ergebnis nach Steuern",104509000
"Ergebnis aus dem Abgang von Vermögenswerten",92000
"Vermögenswerten",0
"Veränderung von Währungskursdifferenzen",1861000
"Veränderung der Vorräte",480000
"Veränderung der Forderungen",27358000
"Lieferungen und Leistungen",22557000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",16205000
"Auszahlungssaldo aus Ertragsteuern",18059000
"Gezahlte Zinsen ohne Darlehenszinsen",1114000
"Erhaltene Zinsen",1480000
"Veränderung der langfristigen Aktiva aus dem Bankenbereich",35097000
"Veränderung der kurzfristiger Forderungen aus dem Bankenbereich",32536000
"Veränderung der Kundeneinlagen aus dem Bankgeschäft",85221000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",27800000
"Auszahlungen für Investitionen in Sachanlagen",6860000
"Wertpapiere",0
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",0
"Einzahlungen aus der Tilgung von Ausleihungen",0
"Erworbener Zahlungsmittel",236570000
"Auszahlungen für den Erwerb von assoziierten Unternehmen",0
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",15201000
"Tilgung Verbindlichkeiten aus Leasing",6009000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",395495000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",3515000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",14489000
"Dividendenausschüttung",19770000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",4251000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",271170000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",9719000
"Umsatzerlöse",615478000
"Aktivierte Eigenleistungen",19110000
"Materialaufwand",323546000
"Personalaufwand",85842000
"Anteiliges Ergebnis aus assoziierten Unternehmen (at equity)",20000
"Abschreibungen (M&A bereinigt)*",25027000
"Abschreibungen (M&A bedingt)",19498000
"Ertragsteueraufwand",17772000
"Ergebnis je Aktie (unverwässert und verwässert) in EUR",850
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",3973000
"Erträge im Zusammenhang mit Übernahmen",0
"Erträge aus Umrechnungsdifferenzen",0
"Erträge aus der Auflösung von Wertberichtigungen auf Forderungen",1429000
"Erträge aus verrechneten Sachbezügen",328000
"Erträge Sonstiges",2878000
"Rechtsberatungs- und Abschlusskosten",5111000
"Beratungs- und beratungsnahe Kosten",12475000
"Bürokosten",7273000
"Betriebsausstattung und Leasing",6579000
"Reise, Vertrieb und Marketing",9782000
"Personalnahe Aufwendungen",6944000
"Versicherungen, Beiträge und Abgaben",1462000
"Sonstiges",7750000
"Aufzinsungen von Schulden",3733000
"Zinsaufwand aus Darlehen und Leasing",5754000
"Aufwendungen aus Fair-Value-Bewertungen",2716000
"Abschreibungen auf Finanzanlagen",61000
"währungsbedingte Aufwendungen",55000
"währungsbedingte Erträge",484000
"Zinserträge",1817000
"Erträge aus Fair-Value-Bewertungen",0
"Erträge aus der Veräußerung von Visa Europe Ltd.",95000
"Erträge aus Wertpapieren und Ausleihungen",279000
"Kundenbeziehungen",466700000
"Selbsterstellte immaterielle Verm<f6>genswerte",129400000
"Sonstige immaterielle Verm<f6>genswerte",126500000
"2. Sachanlagen",63500000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14200000
"Latente Steueranspr<fc>che",9100000
"1. Vorr<e4>te und unfertige Leistungen",11300000
"2. Forderungen aus dem Acquiringbereich",499600000
"Steuererstattungsanspr<fc>che",12300000
"5. Verzinsliche Wertpapiere und Festgelder",262700000
"6. Zahlungsmittel und Zahlungsmittel<e4>quivalente",2060400000
"Payment Processing & Risk Management",527700000
"Acquiring & Issuing",145700000
"Call Center & Communication Services",300000
"abz<fc>glich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",23000000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",17600000
"Wandelschuldverschreibungen",42000000
"Festverzinsliche Wertpapiere",1900000
"Bankenbereich",43100000
"FinTech-Bereich)",154800000
"Sonstige M&A bedingte Verm<f6>genswerte",25500000
"Sonstiges",12800000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",104500000
"Forderungen aus dem Kartengesch<e4>ft",40400000
"Sonstige Forderungen aus Lieferungen und Leistungen",89500000
"Sonstige Forderungen",68200000
"1. Gezeichnetes Kapital",123600000
"2. Kapitalr<fc>cklage",494700000
"3. Gewinnr<fc>cklagen",1191600000
"4. Sonstige Bestandteile des Eigenkapitals",75500000
"Langfristige verzinsliche Verbindlichkeiten",1125700000
"Latente Steuerschulden",81100000
"Verbindlichkeiten aus dem Acquiringbereich",499800000
"Verbindlichkeiten aus Lieferungen und Leistungen",60200000
"Verzinsliche Verbindlichkeiten",6600000
"Sonstige R<fc>ckstellungen",4100000
"Kundeneinlagen aus dem Bankgesch<e4>ft",1178500000
"Steuerr<fc>ckstellungen",25300000
"Earn-Out Verbindlichkeiten",13700000
"Leasingverbindlichkeiten",13700000
"variable Verg<fc>tung und Vorsorgebez<fc>ge",800000
"Sonstige M&A bedingte Verbindlichkeiten",49300000
"Abgegrenzte Schulden",64600000
"Leasingverbindlichkeiten",12200000
"Kaufpreisverbindlichkeiten",30800000
"Sonstige",51000000
"Sonstige langfristige Verbindlichkeiten",1000000
"Ergebnis nach Steuern",153300000
"Ergebnis aus dem Abgang von Verm<f6>genswerten",0
"Ver<e4>nderung von W<e4>hrungskursdifferenzen",1600000
"Ver<e4>nderung der Vorr<e4>te",2100000
"Ver<e4>nderung der Forderungen",94400000
"Lieferungen und Leistungen",66500000
"Ver<e4>nderung der sonstigen Verm<f6>genswerte und Verbindlichkeiten",15600000
"Auszahlungssaldo aus Ertragsteuern",34500000
"Gezahlte Zinsen ohne Zinsen f<fc>r Darlehen und und Finanzierungsleasing",400000
"Erhaltene Zinsen",200000
"Ver<e4>nderung der langfristigen Aktiva aus dem Bankenbereich",21300000
"Ver<e4>nderung der kurzfristigen Forderungen aus dem Bankenbereich",161400000
"Ver<e4>nderung der Kundeneinlagen aus dem Bankgesch<e4>ft",207500000
"Auszahlungen f<fc>r Investitionen in immaterielle Verm<f6>genswerte",57600000
"Auszahlungen f<fc>r Investitionen in Sachanlagen",8100000
"Wertpapiere",2000000
"erworbener Zahlungsmittel",1900000
"Auszahlungen f<fc>r den Erwerb von Gesellschaften aus Vorjahren",17600000
"Tilgung Verbindlichkeiten aus Leasing",7200000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",375000000
"Auszahlungen f<fc>r Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",5800000
"Auszahlungen f<fc>r die Tilgung von Finanzverbindlichkeiten",306200000
"Dividendenaussch<fc>ttung",22200000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",6700000
"Zahlungswirksame Ver<e4>nderungen des Finanzmittelbestands",167500000
"Wechselkurs- und bewertungsbedingte <c4>nderungen des Finanzmittelbestands",9000000
"Umsatzerl<f6>se",897600000
"Aktivierte Eigenleistungen",20700000
"Materialaufwand",493000000
"Personalaufwand",112000000
"Anteiliges Ergebnis aus assoziierten Unternehmen (at equity)",400000
"Ertragsteueraufwand",29800000
"Ergebnis je Aktie (unverw<e4>ssert und verw<e4>ssert) in EUR",1240000
"Abschreibungen (M&A bereinigt) **",31500000
"Abschreibungen (M&A bedingt)",19400000
"Ertr<e4>ge aus Aufl<f6>sung von R<fc>ckstellungen/abgegrenzten Schulden",1300000
"Ertr<e4>ge aus Umrechnungsdifferenzen",200000
"Ertr<e4>ge aus der Aufl<f6>sung von Wertberichtigungen auf Forderungen",1200000
"Ertr<e4>ge aus verrechneten Sachbez<fc>gen",400000
"Ertr<e4>ge Sonstiges",2900000
"Rechtsberatungs- und Abschlusskosten",6300000
"Beratungs- und beratungsnahe Kosten",13400000
"B<fc>rokosten",9200000
"Betriebsausstattung und Leasing",11400000
"Reise, Vertrieb und Marketing",9800000
"Personalnahe Aufwendungen",7900000
"Versicherungen, Beitr<e4>ge und Abgaben",2200000
"Sonstiges",13400000
"Aufzinsungen von Schulden",1400000
"Zinsaufwand aus Darlehen und Leasing",12600000
"Aufwendungen aus Fair-Value-Bewertungen",2200000
"Abschreibungen auf Finanzanlagen",0
"w<e4>hrungsbedingte Aufwendungen",200000
"w<e4>hrungsbedingte Ertr<e4>ge",0
"Zinsertr<e4>ge",1800000
"Ertr<e4>ge aus Fair-Value-Bewertungen",3200000
"Ertr<e4>ge aus Wertpapieren und Ausleihungen",100000
"Kundenbeziehungen",438400000
"Selbsterstellte immaterielle Verm<f6>genswerte",146700000
"Sonstige immaterielle Verm<f6>genswerte",114600000
"2. Sachanlagen",109800000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",13900000
"Latente Steueranspr<fc>che",13100000
"1. Vorr<e4>te und unfertige Leistungen",7600000
"2. Forderungen aus dem Acquiringbereich",786500000
"Steuererstattungsanspr<fc>che",24000000
"5. Verzinsliche Wertpapiere und Festgelder",515800000
"6. Zahlungsmittel und Zahlungsmittel<e4>quivalente",3047700000
"Visa Vorzugsaktien",31200000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",132400000
"Wandelanleihen",13200000
"Festverzinsliche Wertpapiere",2400000
"Festverzinsliche Wertpapiere/Collared Floater aus dem Bankenbereich",5000000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",107000000
"Sonstige M&A bedingte Verm<f6>genswerte",74000000
"Sonstiges",7500000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",112800000
"Forderungen aus dem Kartengesch<e4>ft",36900000
"Sonstige M&A bedingte Forderungen",41500000
"Sonstige Forderungen aus Lieferungen und Leistungen",121600000
"Sonstige Forderungen",80500000
"Payment Processing & Risk Management",559700000
"Acquiring & Issuing",153500000
"Call Center & Communication Services",300000
"Abz<fc>glich: Impairment-Abschreibungen",0
"1. Gezeichnetes Kapital",123600000
"2. Kapitalr<fc>cklage",494700000
"3. Gewinnr<fc>cklagen",1588500000
"4. Sonstige Bestandteile des Eigenkapitals",61700000
"Langfristige verzinsliche Verbindlichkeiten",1594600000
"Latente Steuerschulden",79000000
"Verbindlichkeiten aus dem Acquiringbereich",708900000
"Verbindlichkeiten aus Lieferungen und Leistungen",65900000
"Verzinsliche Verbindlichkeiten",123000000
"Sonstige R<fc>ckstellungen",27900000
"Kundeneinlagen aus dem Bankgesch<e4>ft",1559100000
"Steuerr<fc>ckstellungen",30100000
"Earn-Out Verbindlichkeiten",5900000
"Leasingverbindlichkeiten",43000000
"Variable Verg<fc>tung und Vorsorgebez<fc>ge",3200000
"Sonstige M&A bedingte Verbindlichkeiten",99100000
"Sonstige langfristige Verbindlichkeiten",5100000
"Abgegrenzte Schulden",64000000
"Sonstige M&A bedingte Verbindlichkeiten",56300000
"Leasingverbindlichkeiten",26900000
"Kaufpreisverbindlichkeiten",23800000
"Sonstige",36500000
"Ergebnis nach Steuern",237500000
"Ergebnis aus dem Abgang von Verm<f6>genswerten",600000
"Ver<e4>nderung von W<e4>hrungskursdifferenzen",0
"Ver<e4>nderung der Vorr<e4>te",3000000
"Ver<e4>nderung der Forderungen",119200000
"Lieferungen und Leistungen",59600000
"Ver<e4>nderung der sonstigen Verm<f6>genswerte und Verbindlichkeiten",2500000
"Auszahlungssaldo aus Ertragsteuern",42500000
"Gezahlte Zinsen ohne Zinsen f<fc>r Darlehen und Leasing",400000
"Erhaltene Zinsen",400000
"Ver<e4>nderung der langfristigen Aktiva aus dem Bankenbereich",37500000
"Ver<e4>nderung der kurzfristigen Forderungen aus dem Bankenbereich",396800000
