"BEZEICHNUNG","THIS_YEAR"
"Selbsterstellte immaterielle Vermögenswerte",36127000
"Sonstige immaterielle Vermögenswerte",29461000
"Kundenbeziehungen",187431000
"Sonstige Sachanlagen",14179000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",101283000
"Latente Steueransprüche",720000
"1. Vorräte und unfertige Leistungen",1472000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",258523000
"Steuererstattungsansprüche",12782000
"4. Verzinsliche Wertpapiere und Festgelder",100730000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",306285000
"Payment Processing & Risk Management",108378000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"abzgl. Goodwill Anpassung aufgrund von Währungskursschwankungen",395000
"1. Gezeichnetes Kapital",112192000
"2. Kapitalrücklage",140425000
"3. Gewinnrücklagen",312948000
"4. Umrechnungsrücklage",1415000
"Langfristige verzinsliche Verbindlichkeiten",108781000
"Sonstige langfristige Verbindlichkeiten",8043000
"Latente Steuerschulden",15075000
"Verbindlichkeiten aus Lieferungen und Leistungen",178233000
"Verzinsliche Verbindlichkeiten",15214000
"Sonstige Rückstellungen",1456000
"Sonstige Verbindlichkeiten",33746000
"Kundeneinlagen aus dem Bankgeschäft",259051000
"Steuerrückstellungen",7954000
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",44652000
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",57000
"Effekte aus Währungskursschwankungen",1860000
"Zunahme/Abnahme der Vorräte",154000
"sonstiger Forderungen",44040000
"Zunahme/Abnahme anderer Aktiva",10412000
"Zunahme/Abnahme der Rückstellungen",337000
"Zunahme/Abnahme lfr. Schulden ohne Finanzschulden",4411000
"Zunahme/Abnahme Verbindlichkeiten aus Lieferungen und Leistungen",9005000
"Zunahme/Abnahme anderer kurzfristiger Passiva",7686000
"Auszahlungssaldo aus Ertragsteuern",9193000
"Gezahlte Zinsen ohne Darlehenszinsen",70000
"Erhaltene Zinsen",337000
"Capital aus Erstkonsolidierung",3270000
"Sachanlagen",31586000
"Sachanlagen",5000
"verzinsliche Wertpapiere",13000000
"konsolidierter Gesellschaften",5233000
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",1726000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",30000000
"Finanzverbindlichkeiten",300000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",1250000
"Dividendenausschüttung",12341000
"Gezahlte Zinsen aus Darlehen",1357000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",50517000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",781000
"I. Umsatzerlöse",216147000
"1. Aktivierte Eigenleistungen",8735000
"1. Materialaufwand",128173000
"2. Personalaufwand",22811000
"3. Abschreibungen",11589000
"1. Sonstige betriebliche Erträge",2141000
"1. Sonstige Finanzerträge",901000
"2. Finanzaufwand",3080000
"VII. Ertragsteueraufwand",6931000
"Ergebnis je Aktie (unverwässert) in EUR",320
"Rechtsberatungs- und Abschlusskosten",3043000
"Beratungs- und beratungsnahe Kosten",5555000
"Bürokosten",2852000
"Betriebsausstattung und Leasing",1686000
"Vertrieb und Marketing",2929000
"Sonstiges",3733000
"Selbsterstellte immaterielle Vermögenswerte",52847000
"Kundenbeziehungen",283407000
"Sonstige immaterielle Vermögenswerte",42760000
"Sonstige Sachanlagen",15092000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",103775000
"Latente Steueransprüche",2257000
"1. Vorräte und unfertige Leistungen",4869000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",327568000
"Steuererstattungsansprüche",12746000
"4. Verzinsliche Wertpapiere und Festgelder",170604000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",585089000
"Payment Processing & Risk Management",135807000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",149000
"1. Gezeichnetes Kapital",123491000
"2. Kapitalrücklage",493096000
"3. Gewinnrücklagen",390177000
"4. Währungsumrechnungsrücklage",3557000
"Langfristige verzinsliche Verbindlichkeiten",91086000
"Sonstige langfristige Verbindlichkeiten",11283000
"Latente Steuerschulden",24448000
"Verbindlichkeiten aus Lieferungen und Leistungen",235738000
"Verzinsliche Verbindlichkeiten",8452000
"Sonstige Rückstellungen",1352000
"Sonstige Verbindlichkeiten",42466000
"Kundeneinlagen aus dem Bankgeschäft",345668000
"Steuerrückstellungen",7995000
"Ergebnis nach Zinsen und Ertragssteuern",44862000
"Ergebnis aus dem Abgang von Anlagevermögen",36000
"Veränderung von Währungskursdifferenzen",1556000
"Veränderung der Vorräte",210000
"sonstige Forderungen",43600000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",19720000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",496000
"Auszahlungssaldo aus Ertragsteuern",12012000
"Gezahlte Zinsen ohne Darlehenszinsen",199000
"Erhaltene Zinsen",462000
"Sachanlagen",34324000
"Sachanlagen",3000
"verzinsliche Wertpapiere",0
"Zahlungsmittel",40771000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",1223000
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",2146000
"Einzahlungen aus der Ausgabe von Aktien",366746000
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",5679000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",0
"Finanzverbindlichkeiten",672000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",131250000
"Dividendenausschüttung",14819000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",1493000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",133022000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",567000
"I. Umsatzerlöse",268815000
"1. Aktivierte Eigenleistungen",11787000
"1. Materialaufwand",153233000
"2. Personalaufwand",30705000
"3. Abschreibungen",18631000
"1. Sonstige betriebliche Erträge",2367000
"1. Sonstige Finanzerträge",1023000
"2. Finanzaufwand",3819000
"VII. Ertragsteueraufwand",8664000
"Ergebnis je Aktie (unverwässert) in EUR",370
"Rechtsberatungs- und Abschlusskosten",2083000
"Beratungs- und beratungsnahe Kosten",6627000
"Bürokosten",3342000
"Betriebsausstattung und Leasing",1907000
"Vertrieb und Marketing",3593000
"Sonstiges",6526000
"Kundenbeziehungen",337541000
"Selbsterstellte immaterielle Vermögenswerte",70654000
"Sonstige immaterielle Vermögenswerte",48573000
"Sonstige Sachanlagen",26016000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",134498000
"Latente Steueransprüche",1177000
"1. Vorräte und unfertige Leistungen",6872000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",373450000
"Steuererstattungsansprüche",7425000
"4. Verzinsliche Wertpapiere und Festgelder",170859000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",724495000
"Payment Processing & Risk Management",174814000
"Acquiring & Issuing",47507000
"Call Center & Communication Services",288000
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",1213000
"1. Gezeichnetes Kapital",123491000
"2. Kapitalrücklage",493073000
"3. Gewinnrücklagen",498140000
"4. Währungsumrechnungsrücklage",8178000
"Langfristige verzinsliche Verbindlichkeiten",134041000
"Sonstige langfristige Verbindlichkeiten",22768000
"Latente Steuerschulden",27347000
"Verbindlichkeiten aus Lieferungen und Leistungen",291346000
"Verzinsliche Verbindlichkeiten",1775000
"Sonstige Rückstellungen",810000
"Sonstige Verbindlichkeiten",43167000
"Kundeneinlagen aus dem Bankgeschäft",472859000
"Steuerrückstellungen",8389000
"Ergebnis nach Steuern",60949000
"Ergebnis aus dem Abgang von Vermögenswerten",369000
"Veränderung von Währungskursdifferenzen",1957000
"Veränderung der Vorräte",3559000
"sonstige Forderungen",16483000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",5978000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",14320000
"Auszahlungssaldo aus Ertragsteuern",10748000
"Gezahlte Zinsen ohne Darlehenszinsen",148000
"Erhaltene Zinsen",628000
"Sachanlagen",23084000
"und Sachanlagen",4000
"verzinsliche Wertpapiere",12999000
"erworbener Zahlungsmittel",13142000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",23226000
"Tilgung Verbindlichkeiten aus Leasing",2818000
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",45000000
"Finanzverbindlichkeiten",696000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",6603000
"Dividendenausschüttung",16054000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",1213000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",8725000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",1398000
"Umsatzerlöse",340086000
"Aktivierte Eigenleistungen",13297000
"Materialaufwand",186867000
"Personalaufwand",43253000
"Sonstige betriebliche Erträge",4762000
"Abschreibung (M&A bereinigt)",15085000
"PPA bedingte Abschreibung",10665000
"Sonstige Finanzerträge",1096000
"Finanzaufwand",4670000
"Ertragsteueraufwand",8027000
"Ergebnis je Aktie (unverwässert) in EUR",490
"Rechtsberatungs- und Abschlusskosten",3136000
"Beratungs- und beratungsnahe Kosten",4775000
"Bürokosten",4034000
"Betriebsausstattung und Leasing",3229000
"Vertrieb und Marketing",5219000
"Sonstiges",9332000
"Kundenbeziehungen",400419000
"Selbsterstellte immaterielle Vermögenswerte",87815000
"Sonstige immaterielle Vermögenswerte",76676000
"2. Sachanlagen",34768000
"Latente Steueransprüche",1977000
"1. Vorräte und unfertige Leistungen",10765000
"2. Forderungen aus dem Acquiringbereich",326956000
"Steuererstattungsansprüche",12332000
"5. Verzinsliche Wertpapiere und Festgelder",206278000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1172609000
"Payment Processing & Risk Management",446244000
"Acquiring & Issuing",73134000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Anteile an nicht konsolidierten Unternehmen",31000
"Anteile an assoziierten Unternehmen",15000000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",36354000
"Wertpapiere/Collared Floater",61727000
"FinTech-Bereich)",45551000
"Visa Vorzugsaktien und langfristige Forderung",19203000
"Sonstiges",33212000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",85134000
"Sonstige Forderungen aus Lieferungen und Leistungen",36645000
"Sonstige Forderungen",18689000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",729351000
"4. Neubewertungsrücklage",455000
"5. Umrechnungsrücklage",6469000
"Langfristige verzinsliche Verbindlichkeiten",353532000
"Latente Steuerschulden",59023000
"Verbindlichkeiten aus dem Acquiringbereich",310071000
"Verbindlichkeiten aus Lieferungen und Leistungen",20636000
"Verzinsliche Verbindlichkeiten",233870000
"Sonstige Rückstellungen",2725000
"Kundeneinlagen aus dem Bankgeschäft",720670000
"Steuerrückstellungen",21977000
"Earn-Out Verbindlichkeiten",16220000
"Leasingverbindlichkeiten",10472000
"variable Vergütung und Vorsorgebezüge",3811000
"Sonstige langfristige Verbindlichkeiten",1015000
"Abgegrenzte Schulden",16866000
"Leasingverbindlichkeiten",6984000
"Kaufpreisverbindlichkeiten",58505000
"Sonstige",24753000
"Ergebnis nach Steuern",166814000
"Ergebnis aus dem Abgang von Vermögenswerten",0
"Vermögenswerten",91662000
"Veränderung von Währungskursdifferenzen",912000
"Veränderung der Vorräte",6733000
"Veränderung der Forderungen",4641000
"Leistungen",54411000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",15756000
"Auszahlungssaldo aus Ertragsteuern",2881000
"Gezahlte Zinsen ohne Darlehenszinsen",119000
"Erhaltene Zinsen",136000
