"BEZEICHNUNG","THIS_YEAR"
"Selbsterstellte immaterielle Vermögenswerte",40808000
"Sonstige immaterielle Vermögenswerte",31532000
"Kundenbeziehungen",184178000
"Sonstige Sachanlagen",13664000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",121826000
"Latente Steueransprüche",852000
"1. Vorräte und unfertige Leistungen",2169000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",274028000
"Steuererstattungsansprüche",12446000
"4. Verzinsliche Wertpapiere und Festgelder",74414000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",351917000
"Payment Processing & Risk Management",108263000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Goodwill Anpassung aufgrund von Währungskursschwankungen",1085000
"1. Gezeichnetes Kapital",112192000
"2. Kapitalrücklage",140425000
"3. Gewinnrücklagen",334162000
"4. Umrechnungsrücklage",2357000
"Langfristige verzinsliche Verbindlichkeiten",143251000
"Sonstige langfristige Verbindlichkeiten",9265000
"Latente Steuerschulden",15687000
"Verbindlichkeiten aus Lieferungen und Leistungen",182489000
"Verzinsliche Verbindlichkeiten",15581000
"Sonstige Rückstellungen",1045000
"Sonstige Verbindlichkeiten",34563000
"Kundeneinlagen aus dem Bankgeschäft",255866000
"Steuerrückstellungen",9740000
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",71400000
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",64000
"Effekte aus Währungskursschwankungen",2406000
"Zunahme/Abnahme der Vorräte",543000
"sonstiger Forderungen",59911000
"Zunahme/Abnahme anderer Aktiva",8197000
"Zunahme/Abnahme der Rückstellungen",73000
"Zunahme/Abnahme lfr. Schulden ohne Finanzschulden",4475000
"Zunahme/Abnahme Verbindlichkeiten aus Lieferungen und Leistungen",4787000
"Zunahme/Abnahme anderer kurzfristiger Passiva",8073000
"Auszahlungssaldo aus Ertragsteuern",11180000
"Gezahlte Zinsen ohne Darlehenszinsen",153000
"Erhaltene Zinsen",428000
"Capital aus Erstkonsolidierung",3270000
"Sachanlagen",40867000
"Sachanlagen",7000
"verzinsliche Wertpapiere",30500000
"konsolidierter Gesellschaften",5118000
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",2600000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",65000000
"Finanzverbindlichkeiten",604000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",1250000
"Dividendenausschüttung",12341000
"Gezahlte Zinsen aus Darlehen",2059000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",22157000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",2127000
"I. Umsatzerlöse",341119000
"1. Aktivierte Eigenleistungen",14781000
"1. Materialaufwand",202540000
"2. Personalaufwand",34481000
"3. Abschreibungen",18393000
"1. Sonstige betriebliche Erträge",2134000
"1. Sonstige Finanzerträge",1153000
"2. Finanzaufwand",4464000
"VII. Ertragsteueraufwand",11332000
"Ergebnis je Aktie (unverwässert) in EUR",510
"Rechtsberatungs- und Abschlusskosten",2846000
"Beratungs- und beratungsnahe Kosten",11572000
"Bürokosten",4302000
"Betriebsausstattung und Leasing",2519000
"Vertrieb und Marketing",4558000
"Sonstiges",5423000
"Selbsterstellte immaterielle Vermögenswerte",57555000
"Kundenbeziehungen",288708000
"Sonstige immaterielle Vermögenswerte",43665000
"Sonstige Sachanlagen",15458000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",110430000
"Latente Steueransprüche",2103000
"1. Vorräte und unfertige Leistungen",3355000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",353774000
"Steuererstattungsansprüche",13118000
"4. Verzinsliche Wertpapiere und Festgelder",157718000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",614696000
"Payment Processing & Risk Management",135980000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",411000
"1. Gezeichnetes Kapital",123491000
"2. Kapitalrücklage",493089000
"3. Gewinnrücklagen",419473000
"4. Währungsumrechnungsrücklage",2396000
"Langfristige verzinsliche Verbindlichkeiten",91059000
"Sonstige langfristige Verbindlichkeiten",11166000
"Latente Steuerschulden",26234000
"Verbindlichkeiten aus Lieferungen und Leistungen",254884000
"Verzinsliche Verbindlichkeiten",7966000
"Sonstige Rückstellungen",1197000
"Sonstige Verbindlichkeiten",40875000
"Kundeneinlagen aus dem Bankgeschäft",349411000
"Steuerrückstellungen",10458000
"Ergebnis nach Zinsen und Ertragssteuern",74158000
"Ergebnis aus dem Abgang von Anlagevermögen",45000
"Veränderung von Währungskursdifferenzen",3709000
"Veränderung der Vorräte",1304000
"sonstige Forderungen",67871000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",576000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",5037000
"Auszahlungssaldo aus Ertragsteuern",13993000
"Gezahlte Zinsen ohne Darlehenszinsen",158000
"Erhaltene Zinsen",529000
"Sachanlagen",50220000
"Sachanlagen",4000
"verzinsliche Wertpapiere",750000
"Zahlungsmittel",40771000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",3758000
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",3187000
"Einzahlungen aus der Ausgabe von Aktien",366746000
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",5688000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",0
"Finanzverbindlichkeiten",949000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",131427000
"Dividendenausschüttung",14819000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",1916000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",144752000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",1082000
"I. Umsatzerlöse",424240000
"1. Aktivierte Eigenleistungen",18355000
"1. Materialaufwand",241835000
"2. Personalaufwand",47156000
"3. Abschreibungen",28793000
"1. Sonstige betriebliche Erträge",3472000
"1. Sonstige Finanzerträge",1336000
"2. Finanzaufwand",5146000
"VII. Ertragsteueraufwand",14193000
"Ergebnis je Aktie (unverwässert) in EUR",610
"Rechtsberatungs- und Abschlusskosten",2407000
"Beratungs- und beratungsnahe Kosten",11424000
"Bürokosten",4967000
"Betriebsausstattung und Leasing",3060000
"Vertrieb und Marketing",5507000
"Sonstiges",8758000
"Kundenbeziehungen",332720000
"Selbsterstellte immaterielle Vermögenswerte",74790000
"Sonstige immaterielle Vermögenswerte",46931000
"Sonstige Sachanlagen",25656000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",147186000
"Latente Steueransprüche",1133000
"1. Vorräte und unfertige Leistungen",5568000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",380310000
"Steuererstattungsansprüche",9563000
"4. Verzinsliche Wertpapiere und Festgelder",147277000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",793297000
"Payment Processing & Risk Management",184403000
"Acquiring & Issuing",37244000
"Call Center & Communication Services",877000
"abzüglich: Impairment-Abschreibungen",0
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",866000
"1. Gezeichnetes Kapital",123491000
"2. Kapitalrücklage",493073000
"3. Gewinnrücklagen",535456000
"4. Währungsumrechnungsrücklage",2482000
"Langfristige verzinsliche Verbindlichkeiten",161456000
"Sonstige langfristige Verbindlichkeiten",17576000
"Latente Steuerschulden",29196000
"Verbindlichkeiten aus Lieferungen und Leistungen",287559000
"Verzinsliche Verbindlichkeiten",4282000
"Sonstige Rückstellungen",986000
"Sonstige Verbindlichkeiten",52532000
"Kundeneinlagen aus dem Bankgeschäft",475648000
"Steuerrückstellungen",9138000
"Ergebnis nach Steuern",98265000
"Ergebnis aus dem Abgang von Vermögenswerten",412000
"Veränderung von Währungskursdifferenzen",939000
"Veränderung der Vorräte",2256000
"sonstige Forderungen",23523000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",9782000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",22162000
"Auszahlungssaldo aus Ertragsteuern",14327000
"Gezahlte Zinsen ohne Darlehenszinsen",93000
"Erhaltene Zinsen",535000
"Sachanlagen",41742000
"und Sachanlagen",6000
"verzinsliche Wertpapiere",13532000
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",10000000
"erworbener Zahlungsmittel",13142000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",23479000
"Tilgung Verbindlichkeiten aus Leasing",4430000
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",75000000
"Finanzverbindlichkeiten",1041000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",6780000
"Dividendenausschüttung",16054000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",1749000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",49275000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",1963000
"Umsatzerlöse",540981000
"Aktivierte Eigenleistungen",19800000
"Materialaufwand",295469000
"Personalaufwand",66118000
"Sonstige betriebliche Erträge",4224000
"Abschreibung (M&A bereinigt)",23304000
"PPA bedingte Abschreibung",15936000
"Sonstige Finanzerträge",1239000
"Finanzaufwand",6350000
"Ertragsteueraufwand",15734000
"Ergebnis je Aktie (unverwässert) in EUR",800
"Rechtsberatungs- und Abschlusskosten",3524000
"Beratungs- und beratungsnahe Kosten",10228000
"Bürokosten",5976000
"Betriebsausstattung und Leasing",5244000
"Vertrieb und Marketing",7512000
"Sonstiges",12583000
"Kundenbeziehungen",400320000
"Selbsterstellte immaterielle Vermögenswerte",92788000
"Sonstige immaterielle Vermögenswerte",73871000
"2. Sachanlagen",40623000
"Latente Steueransprüche",2827000
"1. Vorräte und unfertige Leistungen",3995000
"2. Forderungen aus dem Acquiringbereich",352305000
"Steuererstattungsansprüche",8396000
"5. Verzinsliche Wertpapiere und Festgelder",197982000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1202546000
"Payment Processing & Risk Management",447309000
"Acquiring & Issuing",75698000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Anteile an nicht konsolidierten Unternehmen",31000
