"BEZEICHNUNG","THIS_YEAR"
"Anteile an assoziierten Unternehmen",14974000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",36338000
"Wertpapiere/Collared Floater",61985000
"FinTech-Bereich)",39314000
"Visa Vorzugsaktien und langfristige Forderung",19079000
"Sonstiges",35615000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",89454000
"Sonstige Forderungen aus Lieferungen und Leistungen",47853000
"Sonstige Forderungen",17677000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",778715000
"4. Neubewertungsrücklage",735000
"5. Umrechnungsrücklage",4200000
"Langfristige verzinsliche Verbindlichkeiten",353508000
"Latente Steuerschulden",57416000
"Verbindlichkeiten aus dem Acquiringbereich",316885000
"Verbindlichkeiten aus Lieferungen und Leistungen",28182000
"Verzinsliche Verbindlichkeiten",231494000
"Sonstige Rückstellungen",1823000
"Kundeneinlagen aus dem Bankgeschäft",706157000
"Steuerrückstellungen",23787000
"Earn-Out Verbindlichkeiten",17129000
"Leasingverbindlichkeiten",11712000
"variable Vergütung und Vorsorgebezüge",420000
"Sonstige langfristige Verbindlichkeiten",4061000
"Abgegrenzte Schulden",17139000
"Leasingverbindlichkeiten",8026000
"Kaufpreisverbindlichkeiten",60550000
"Sonstige",22551000
"Ergebnis nach Steuern",216177000
"Ergebnis aus dem Abgang von Vermögenswerten",244000
"Vermögenswerten",91600000
"Veränderung von Währungskursdifferenzen",451000
"Veränderung der Vorräte",36000
"Veränderung der Forderungen",35754000
"Leistungen",40455000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",13380000
"Auszahlungssaldo aus Ertragsteuern",10158000
"Gezahlte Zinsen ohne Darlehenszinsen",222000
"Erhaltene Zinsen",178000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",32199000
"Auszahlungen für Investitionen in Sachanlagen",12115000
"Einzahlungen aus dem Verkauf von immateriellen Vermögenswerten und Sachanlagen",0
"Wertpapiere",17372000
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",83040000
"Zahlungsmittel",54216000
"Unternehmen",4320000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",157600000
"Tilgung Verbindlichkeiten aus Leasing",4324000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",237758000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",4565000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",13284000
"Dividendenausschüttung",17299000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",4419000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",122069000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",2385000
"Umsatzerlöse",719352000
"Aktivierte Eigenleistungen",19541000
"Materialaufwand",373118000
"Personalaufwand",93794000
"Sonstige betriebliche Erträge",4910000
"Abschreibungen (M&A bereinigt)*",29219000
"Abschreibungen (M&A bedingt)",22717000
"Sonstige Finanzerträge",92836000
"Finanzaufwand",14784000
"Ertragsteueraufwand",23827000
"Ergebnis je Aktie (unverwässert und verwässert) in EUR",1750
"Rechtsberatungs- und Abschlusskosten",6125000
"Beratungs- und beratungsnahe Kosten",12731000
"Bürokosten",7903000
"Betriebsausstattung und Leasing",8566000
"Vertrieb und Marketing",10929000
"Personalnahe Aufwendungen",3550000
"Versicherungen, Beiträge und Abgaben",1633000
"Sonstiges",11537000
"(at equity)",26000
"Kundenbeziehungen",485499000
"Selbsterstellte immaterielle Vermögenswerte",115608000
"Sonstige immaterielle Vermögenswerte",82850000
"2. Sachanlagen",57092000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14640000
"Latente Steueransprüche",2771000
"1. Vorräte und unfertige Leistungen",11972000
"2. Forderungen aus dem Acquiringbereich",438430000
"Steuererstattungsansprüche",10224000
"5. Verzinsliche Wertpapiere und Festgelder",95072000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1698536000
"Payment Processing & Risk Management",519843000
"Acquiring & Issuing",152758000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",18286000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",27654000
"Wandelschuldverschreibungen",33035000
"Festverzinsliche Wertpapiere",1903000
"Bankenbereich",42637000
"FinTech-Bereich)",126602000
"Sonstiges",7859000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",105016000
"Forderungen aus dem Kartengeschäft",13516000
"Sonstige Forderungen aus Lieferungen und Leistungen",105694000
"Sonstige Forderungen",44411000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",978012000
"4. Sonstige Bestandteile des Eigenkapitals",49304000
"Langfristige verzinsliche Verbindlichkeiten",685236000
"Latente Steuerschulden",87189000
"Verbindlichkeiten aus dem Acquiringbereich",395632000
"Verbindlichkeiten aus Lieferungen und Leistungen",46863000
"Verzinsliche Verbindlichkeiten",313031000
"Sonstige Rückstellungen",2085000
"Kundeneinlagen aus dem Bankgeschäft",909609000
"Steuerrückstellungen",38980000
"Earn-Out Verbindlichkeiten",18596000
"Leasingverbindlichkeiten",13868000
"Variable Vergütung und Vorsorgebezüge",1818000
"Sonstige langfristige Verbindlichkeiten",3603000
"Abgegrenzte Schulden",45507000
"Leasingverbindlichkeiten",11172000
"Kaufpreisverbindlichkeiten",69045000
"Sonstige",23006000
"Ergebnis nach Steuern",168496000
"Ergebnis aus dem Abgang von Vermögenswerten",0
"Vermögenswerten",0
"Veränderung von Währungskursdifferenzen",155000
"Veränderung der Vorräte",1447000
"Veränderung der Forderungen",84861000
"Lieferungen und Leistungen",14207000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",24971000
"Auszahlungssaldo aus Ertragsteuern",22689000
"Gezahlte Zinsen ohne Darlehenszinsen",1565000
"Erhaltene Zinsen",2645000
"Veränderung der langfristigen Aktiva aus dem Bankenbereich",41645000
"Veränderung der kurzfristiger Forderungen aus dem Bankenbereich",44622000
"Veränderung der Kundeneinlagen aus dem Bankgeschäft",173173000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",45984000
"Auszahlungen für Investitionen in Sachanlagen",10685000
"Auszahlungen für Investitionen in finanzielle Vermögenswerte und verzinsliche Wertpapiere",0
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",0
"Einzahlungen aus der Tilgung von Ausleihungen",1000000
"erworbener Zahlungsmittel",236570000
"Auszahlungen für den Erwerb von assoziierten Unternehmen",0
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",65201000
"Tilgung Verbindlichkeiten aus Leasing",9055000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",425378000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",4978000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",25511000
"Dividendenausschüttung",19770000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",7698000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",366630000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",6223000
"Umsatzerlöse",1021401000
"Aktivierte Eigenleistungen",29293000
"Materialaufwand",543370000
"Personalaufwand",133298000
"Sonstige betriebliche Erträge",9069000
"Abschreibungen (M&A bereinigt)*",38833000
"Abschreibungen (M&A bedingt)",29405000
"Sonstige Finanzerträge",4530000
"Finanzaufwand",19460000
"Ertragsteueraufwand",34888000
"Ergebnis je Aktie (unverwässert und verwässert) in EUR",1360
"Rechtsberatungs- und Abschlusskosten",8411000
"Beratungs- und beratungsnahe Kosten",19356000
"Bürokosten",11163000
"Betriebsausstattung und Leasing",13225000
"Reise, Vertrieb und Marketing",14536000
"Personalnahe Aufwendungen",11117000
"Versicherungen, Beiträge und Abgaben",2471000
"Sonstiges",16101000
"(at equity)",163000
"Kundenbeziehungen",454800000
"Selbsterstellte immaterielle Verm<f6>genswerte",135600000
"Sonstige immaterielle Verm<f6>genswerte",125100000
"2. Sachanlagen",62800000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14200000
"Latente Steueranspr<fc>che",6900000
"1. Vorr<e4>te und unfertige Leistungen",11400000
"2. Forderungen aus dem Acquiringbereich",590100000
"Steuererstattungsanspr<fc>che",15800000
"5. Verzinsliche Wertpapiere und Festgelder",349200000
"6. Zahlungsmittel und Zahlungsmittel<e4>quivalente",2029800000
"Payment Processing & Risk Management",516200000
"Acquiring & Issuing",144000000
"Call Center & Communication Services",300000
"Abz<fc>glich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",26500000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",17800000
"Wandelschuldverschreibungen",42100000
"Festverzinsliche Wertpapiere",2300000
"Bankenbereich",43300000
"FinTech-Bereich)",152500000
"Sonstige M&A bedingte Verm<f6>genswerte",80700000
"Sonstiges",21000000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",106500000
"Forderungen aus dem Kartengesch<e4>ft",41400000
"Sonstige Forderungen aus Lieferungen und Leistungen",117400000
"Sonstige Forderungen",87700000
"1. Gezeichnetes Kapital",123600000
"2. Kapitalr<fc>cklage",494700000
"3. Gewinnr<fc>cklagen",1288600000
"Langfristige verzinsliche Verbindlichkeiten",1198600000
"Latente Steuerschulden",87600000
"Verbindlichkeiten aus dem Acquiringbereich",517700000
"Verbindlichkeiten aus Lieferungen und Leistungen",68900000
"Verzinsliche Verbindlichkeiten",112000000
"Sonstige R<fc>ckstellungen",5600000
"Kundeneinlagen aus dem Bankgesch<e4>ft",1051600000
"Steuerr<fc>ckstellungen",35900000
"Earn-Out Verbindlichkeiten",15200000
"Leasingverbindlichkeiten",14700000
"Variable Verg<fc>tung und Vorsorgebez<fc>ge",1800000
"Sonstige M&A bedingte Verbindlichkeiten",105200000
"Sonstige langfristige Verbindlichkeiten",5300000
"Abgegrenzte Schulden",81600000
"Leasingverbindlichkeiten",11900000
"Kaufpreisverbindlichkeiten",29500000
"Sonstige",42300000
"4. Sonstige Bestandteile des Eigenkapitals",97200000
"Ergebnis nach Steuern",250200000
"Ergebnis aus dem Abgang von Verm<f6>genswerten",400000
"Ver<e4>nderung von W<e4>hrungskursdifferenzen",600000
"Ver<e4>nderung der Vorr<e4>te",1900000
"Ver<e4>nderung der Forderungen",232900000
"Lieferungen und Leistungen",92900000
"Ver<e4>nderung der sonstigen Verm<f6>genswerte und Verbindlichkeiten",31400000
"Auszahlungssaldo aus Ertragsteuern",44000000
"Gezahlte Zinsen ohne Zinsen f<fc>r Darlehen und Finanzierungsleasing",500000
"Erhaltene Zinsen",300000
"Ver<e4>nderung der langfristigen Aktiva aus dem Bankenbereich",24800000
"Ver<e4>nderung der kurzfristigen Forderungen aus dem Bankenbereich",248700000
"Ver<e4>nderung der Kundeneinlagen aus dem Bankgesch<e4>ft",78000000
"Auszahlungen f<fc>r Investitionen in immaterielle Verm<f6>genswerte",73300000
"Auszahlungen f<fc>r Investitionen in Sachanlagen",13200000
"Wertpapiere",2000000
"erworbener Zahlungsmittel",7400000
"Auszahlungen f<fc>r den Erwerb von Gesellschaften aus Vorjahren",20000000
"Tilgung Verbindlichkeiten aus Leasing",10700000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",648000000
"Auszahlungen f<fc>r Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",7100000
"Auszahlungen f<fc>r die Tilgung von Finanzverbindlichkeiten",406900000
"Dividendenaussch<fc>ttung",22200000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",8900000
"Zahlungswirksame Ver<e4>nderungen des Finanzmittelbestands",129500000
"Wechselkurs- und bewertungsbedingte <c4>nderungen des Finanzmittelbestands",6900000
"Umsatzerl<f6>se",1444700000
"Aktivierte Eigenleistungen",31100000
"Materialaufwand",796000000
"Personalaufwand",172000000
"Sonstige betriebliche Ertr<e4>ge",7200000
"Anteiliges Ergebnis aus assoziierten Unternehmen (at equity)",400000
"Sonstige Finanzertr<e4>ge",9700000
"Finanzaufwand",25700000
"Ertragsteueraufwand",52300000
"Ergebnis je Aktie (unverw<e4>ssert und verw<e4>ssert) in EUR",2020000
"Abschreibungen (M&A bereinigt) **",47900000
"Abschreibungen (M&A bedingt)",28900000
"Rechtsberatungs- und Abschlusskosten",9700000
"Beratungs- und beratungsnahe Kosten",20700000
"B<fc>rokosten",13700000
"Betriebsausstattung und Leasing",18300000
"Reise, Vertrieb und Marketing",15300000
"Personalnahe Aufwendungen",12800000
"Versicherungen, Beitr<e4>ge und Abgaben",3200000
"Sonstiges",25500000
"Kundenbeziehungen",445200000
"Selbsterstellte immaterielle Verm<f6>genswerte",150700000
"Sonstige immaterielle Verm<f6>genswerte",118800000
"2. Sachanlagen",105100000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",13900000
"Latente Steueranspr<fc>che",11900000
"1. Vorr<e4>te und unfertige Leistungen",7100000
"2. Forderungen aus dem Acquiringbereich",732800000
"Steuererstattungsanspr<fc>che",34300000
"5. Verzinsliche Wertpapiere und Festgelder",551600000
"6. Zahlungsmittel und Zahlungsmittel<e4>quivalente",3287400000
"Payment Processing & Risk Management",568600000
"Acquiring & Issuing",157000000
"Call Center & Communication Services",300000
"Visa Vorzugsaktien",32200000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",132400000
"Wandelanleihen",13200000
"Festverzinsliche Wertpapiere",2400000
"Festverzinsliche Wertpapiere/Collared Floater aus dem Bankenbereich",0
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",126800000
"Sonstige M&A bedingte Verm<f6>genswerte",66200000
"Sonstiges",12900000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",117900000
"Forderungen aus dem Kartengesch<e4>ft",42500000
"Sonstige M&A bedingte Forderungen",42100000
"Sonstige Forderungen aus Lieferungen und Leistungen",131100000
"Sonstige Forderungen",96900000
"1. Gezeichnetes Kapital",123600000
"2. Kapitalr<fc>cklage",494700000
"3. Gewinnr<fc>cklagen",1737700000
"4. Sonstige Bestandteile des Eigenkapitals",41200000
"Langfristige verzinsliche Verbindlichkeiten",1657700000
"Latente Steuerschulden",78700000
"Verbindlichkeiten aus dem Acquiringbereich",578600000
"Verbindlichkeiten aus Lieferungen und Leistungen",78800000
"Verzinsliche Verbindlichkeiten",127700000
"Sonstige R<fc>ckstellungen",31300000
"Kundeneinlagen aus dem Bankgesch<e4>ft",1719200000
"Steuerr<fc>ckstellungen",58000000
"Earn-Out Verbindlichkeiten",3600000
"Leasingverbindlichkeiten",41600000
"Variable Verg<fc>tung und Vorsorgebez<fc>ge",3300000
"Sonstige M&A bedingte Verbindlichkeiten",88700000
"Sonstige langfristige Verbindlichkeiten",7900000
"Abgegrenzte Schulden",71500000
"Sonstige M&A bedingte Verbindlichkeiten",56900000
"Leasingverbindlichkeiten",27200000
"Kaufpreisverbindlichkeiten",17700000
"Sonstige",38600000
"Ergebnis nach Steuern",386700000
"Ergebnis aus dem Abgang von Verm<f6>genswerten",1000000
"Ver<e4>nderung von W<e4>hrungskursdifferenzen",100000
"Ver<e4>nderung der Vorr<e4>te",3500000
"und sonstiger Forderungen",93200000
"Lieferungen und Leistungen",57600000
"Ver<e4>nderung der sonstigen Verm<f6>genswerte und Verbindlichkeiten",10900000
"Auszahlungssaldo aus Ertragsteuern",46100000
"Gezahlte Zinsen ohne Zinsen f<fc>r Finanzverbindlichkeiten und Leasing",900000
"Erhaltene Zinsen",600000
"Ver<e4>nderung der langfristigen Aktiva aus dem Bankenbereich",1000000
"Ver<e4>nderung der kurzfristigen Forderungen aus dem Bankenbereich",439400000
"Ver<e4>nderung der Kundeneinlagen aus dem Bankgesch<e4>ft",456100000
"Auszahlungen f<fc>r Investitionen in immaterielle Verm<f6>genswerte",62200000
"Auszahlungen f<fc>r Investitionen in Sachanlagen",12800000
"Einzahlungen aus Investitionen in finanzielle Verm<f6>genswerte und verzinsliche Wertpapiere",0
"erworbener Zahlungsmittel",0
"Auszahlungen f<fc>r den Erwerb von Gesellschaften aus Vorjahren",2400000
"Tilgung Verbindlichkeiten aus Leasing",24000000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",1053900000
"Auszahlungen f<fc>r Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",10100000
"Auszahlungen f<fc>r die Tilgung von Finanzverbindlichkeiten",737100000
"Dividendenaussch<fc>ttung",24700000
"Gezahlte Zinsen aus Finanzverbindlichkeiten und Leasing",7900000
"Zahlungswirksame Ver<e4>nderungen des Finanzmittelbestands",561700000
"Wechselkurs- und bewertungsbedingte <c4>nderungen des Finanzmittelbestands",4300000
"Umsatzerl<f6>se",1941300000
"Aktivierte Eigenleistungen",32400000
"Materialaufwand",1039800000
"Personalaufwand",213400000
"Verm<f6>genswerten",18800000
"Sonstige betriebliche Ertr<e4>ge",8000000
"(at equity)",100000
"Sonstige Finanzertr<e4>ge",22700000
"Finanzaufwand",37600000
"Ertragsteueraufwand",49400000
"EUR",3130000
"Abschreibungen (M&A bereinigt)***",76300000
"Abschreibungen (M&A bedingt)",25900000
"Rechtsberatungs- und Abschlusskosten",30100000
"Beratungs- und beratungsnahe Kosten",34100000
"B<fc>rokosten",5300000
"Betriebsausstattung",22700000
